"BIRTHPLACE_ID","BIRTHPLACE_NAME","DISPLAY_ORDER"
"1","Prussia","9"
"5","Alabama                       ","7"
"7","Arkansas                      ","7"
"10","Colorado                      ","7"
"11","Connecticut                   ","7"
"14","Delaware                      ","7"
"16","Florida                       ","7"
"17","Georgia                       ","7"
"20","Iowa                          ","7"
"22","Illinois                      ","3"
"23","Indiana                       ","1"
"24","Kansas                        ","7"
"25","Kentucky                      ","3"
"26","Louisiana                     ","7"
"27","Massachusetts                 ","7"
"28","Maryland                      ","7"
"29","Maine                         ","7"
"30","Michigan                      ","3"
"31","Minnesota                     ","7"
"32","Missouri                      ","7"
"33","Mississippi                   ","7"
"35","North Carolina                ","7"
"37","Nebraska                      ","7"
"38","New Hampshire                 ","7"
"39","New Jersey                    ","7"
"41","Nevada                        ","7"
"42","New York                      ","7"
"43","Ohio                          ","2"
"45","Oregon                        ","7"
"46","Pennsylvania                  ","7"
"49","Rhode Island                  ","7"
"50","South Carolina                ","7"
"51","South Dakota                  ","7"
"52","Tennessee                     ","7"
"55","Virginia                      ","7"
"57","Vermont                       ","7"
"58","Washington                    ","7"
"59","Wisconsin                     ","7"
"60","West Virginia                 ","7"
"62","Germany","9"
"63","Canada","9"
"65","England","9"
"66","France","9"
"67","Ireland","9"
"68","Italy","9"
"69","Russia","9"
"72","Poland","9"
"73","Scotland","9"
"75","Belgium","9"
"76","Norway","9"
"77","Switzerland","9"
"78","Illegible","10"
"79","Denmark","9"
"81","Wales","9"
"82","Sweden","9"
"84","Washington, D.C.","7"
"85","Holland","9"
"86","Canada Fr.","9"
"87","Canada (Eng.)","9"
"89","Germany","8"
"91","At Sea","8"
"92","Bavaria","8"
"93","Poland (Rus)","8"
